"","Final_Light_intensity","Verified_Predicted_y"
"1",-0.5922418168028,1
"2",-0.514679322896707,2
"3",-0.436503235646845,3
"4",-0.357704052103351,4
"5",-0.278272057510319,4.99999999999999
"6",-0.198197319295345,6
"7",-0.117469680857052,7
"8",-0.0360787551429812,8
"9",0.045986081990061,9
"10",0.128735698641399,10
"11",0.212181213966189,11
"12",0.296334005518291,12
"13",0.381205716845547,13
"14",0.466808265347029,14
"15",0.553153850402279,15
"16",0.640254961782785,16
"17",0.728124388356535,17
"18",0.816775227096755,18
"19",0.906220892406406,19
"20",0.996475125770485,20
"21",1.08755200574855,21
"22",1.17946595832047,22
"23",1.27223176759864,23
"24",1.3658645869208,24
"25",1.46037995033753,25
"26",1.55579378450956,26
"27",1.65212242103012,27
"28",1.74938260918828,28
"29",1.84759152918984,29
"30",1.9467668058525,30
"31",2.04692652279302,31
"32",2.14808923712433,32
"33",2.25027399468113,33
"34",2.35350034579302,34
"35",2.45778836162488,35
"36",2.56315865110449,36
"37",2.66963237845791,37
"38",2.77723128137375,38
"39",2.88597768981766,39
"40",2.99589454551888,40
"41",3.1070054221509,41
"42",3.21933454622877,42
"43",3.33290681874549,43
"44",3.44774783757022,44
"45",3.56388392063115,45
"46",3.68134212990539,46
"47",3.80015029623855,47
"48",3.92033704501582,48
"49",4.04193182270604,49
"50",4.1649649242996,50
"51",4.28946752165966,51
"52",4.41547169280542,52
"53",4.54301045214417,53
"54",4.67211778166739,54
"55",4.80282866312365,55
"56",4.93517911117856,56
"57",5.06920620756878,57
"58",5.2049481362535,58
"59",5.34244421956255,59
"60",5.4817349553353,60
"61",5.6228620550388,61
"62",5.76586848284735,62
"63",5.91079849565794,63
"64",6.05769768400781,64
"65",6.20661301385071,65
"66",6.35759286913774,66
"67",6.51068709513637,67
"68",6.66594704240777,68
"69",6.82342561134721,69
"70",6.98317729717526,70
"71",7.14525823524875,71
"72",7.30972624653914,72
"73",7.47664088310309,73
"74",7.64606347334402,74
"75",7.81805716683573,75
"76",7.99268697844795,75.9999999999999
"77",8.17001983148041,76.9999999999999
"78",8.35012459947527,77.9999999999998
"79",8.53307214633844,78.9999999999996
"80",8.71893536435784,79.9999999999993
"81",8.90778920966082,80.9999999999987
"82",9.09971073460544,82
"83",9.29477911654582,83
"84",9.49307568236601,84
"85",9.6946839281088,85
"86",9.89968953297966,85.9999999999999
"87",10.1081803669408,87
"88",10.3202464910541,88
"89",10.5359801496731,89
"90",10.7554757535296,90
"91",10.978829852709,91
"92",11.2061410984624,92
"93",11.4375101927668,93
"94",11.6730398245194,94
"95",11.9128345912388,95
"96",12.1570009051508,96
"97",12.4056468825656,97
"98",12.6588822155015,98
"99",12.9168180245964,99
"100",13.1795666924621,100
"101",13.4472416767943,101
"102",13.7199573027502,102
"103",13.9978285343565,103
"104",14.2809707250085,104
"105",14.5694993474808,105
"106",14.8635297042803,106
"107",15.1631766196443,107
"108",15.4685541150114,108
"109",15.7797750703669,109
"110",16.0969508744864,110
"111",16.4201910677485,111
"112",16.7496029818597,112
"113",17.0852913815022,113
"114",17.4273581135635,114
"115",17.775901770209,115
"116",18.1310173725857,116
"117",18.4927960823709,117.000000000002
"118",18.8613249486674,118
"119",19.2366866978872,119
"120",19.6189595741795,120
"121",20.0082172377188,121
"122",20.4045287276412,122
"123",20.8079584956909,123
"124",21.2185665156663,124
"125",21.636408472554,125
"126",22.0615360338487,126
"127",22.4939972039865,127
"128",22.933836761136,128
"129",23.3810967738272,129
"130",23.8358171931177,130
"131",24.2980365142565,131
"132",24.7677925001599,132
"133",25.2451229575131,133
"134",25.7300665550056,134
"135",26.2226636721135,135
"136",26.722957265995,136
"137",27.2309937434548,137
"138",27.7468238245578,138
"139",28.2705033843016,139
"140",28.8020942587631,140
"141",29.3416650022595,141
"142",29.8892915822694,142
"143",30.4450579990771,143
"144",31.0090568172893,144
"145",31.5813895964689,145
"146",32.1621672080887,146
"147",32.7515100258171,147
"148",33.3495479757499,148.000000000018
"149",33.9564204325542,149
"150",34.5722759470158,150
"151",35.1972717889979,151
"152",35.8315732895787,152
"153",36.4753529645941,153
"154",37.1287894012971,154
"155",37.7920658892508,155
"156",38.4653687766163,156
"157",39.148885533781,157
"158",39.8428025081385,158
"159",40.5473023571051,159
"160",41.2625611515179,159.999999999999
"161",41.9887451487854,161
"162",42.7260072449228,162
"163",43.4744831272584,163.000000000002
"164",44.2342871652509,164.000000000008
"165",45.005508095661,165.00000000003
"166",45.7882045798223,165.999999999999
"167",46.5824007349516,167
"168",47.3880817654564,168
"169",48.2051898460685,169.000000000014
"170",49.0336204294375,170.000000000005
"171",49.8732191687057,171.000000000002
"172",50.7237796540207,172.000000000001
"173",51.5850421609122,173
"174",52.4566935931826,174
"175",53.3383687732334,175
"176",54.2296531874217,176.000000000002
"177",55.1300872344434,177.000000000001
"178",56.0391719540289,178.000000000009
"179",56.9563761361965,179.000000000136
"180",57.8811446335114,180.000000000001
"181",58.812907631793,181
"182",59.7510905721622,182.000000000001
"183",60.6951243890379,183.000000000002
"184",61.6444557086956,184.000000000017
"185",62.5985566672292,185.000000000001
"186",63.5569340399509,186
"187",64.5191374257686,187.000000000001
"188",65.4847662962866,188.000000000002
"189",66.4534757898448,189.000000000036
"190",67.4249812019231,190.000000000004
"191",68.3990611891253,191.000000000003
"192",69.3755597571819,191.999999999999
"193",70.3543871477799,193.000000000007
"194",71.3355197658177,193.999999999997
"195",72.3189993053774,194.999999999998
"196",73.304931235558,196
"197",74.29348280235,197.000000000001
"198",75.284880689042,198.000000000001
